id;nome;LACUNAS;marca;SUGESTAO_marca;marca_site_antigo;categoria;categoria_site_antigo;REVISAR_categoria;tipo;embalagem;aplicacao;tags;descricao;detalhes;img
acquella-stone;ACQUELLA STONE;marca + aplicacao + categoria?;;;;revestimento;impermeabilizantes;SIM;Impermebilizante hidrorepelente a água e óleo.;"Lata de 900 mL
Gal&atilde
o de 3,6 litros
Lata de 18 litros";;;ACQÜELLA STONE é um impermeabilizante indicado para mármore, granito e outras pedras e superfícies de concreto, em ambientes internos e externos, com tráfego moderado de pessoas. Repele água e óleo. Assim, dificulta a impregnação de sujeira e facilita a limpeza. Aumenta sensivelmente a durabilidade. Não forma filme e mantém inalteradas cor, textura e aparência das superfícies.;"Preparo do substrato
As superfícies a serem tratadas devem estar limpas, secas, porosas, isentas de pó sem impregnação de produtos que prejudiquem a aderência, como desmoldantes, graxa, agentes de cura química, óleo, tintas, entre outros. Caso haja trincas, fissuras ou falhas na superfície, estas devem ser tratadas e corrigidas. Proteger superfícies próximas ao local que será aplicado o ACQÜELLA STONE.
Preparo do produto
Produto pronto para o uso. Misturar o produto antes da aplicação, utilizando ferramenta limpa a fim de evitar a sua contaminação.
Aplicação
ACQÜELLA STONE é aplicado como pintura com pincel, rolo de lã de carneiro de pelo curto ou pulverizador de baixa pressão, em demãos fartas, respeitando o consumo por m², de acordo com a porosidade, com intervalo mínimo de 6 horas entre cada demão, à temperatura de 25 °C. Aplicar a 1ª demão e aguardar 10 minutos. Caso o produto tenha sido absorvido, aguardar de 30 a 60 minutos para aplicar a 2ª demão. Caso não haja total absorção, remover o excesso com pano seco. Repetir a operação até se comprovar a perfeita saturação da superfície, o que ocorre quando não há mais absorção do produto. O tempo mínimo para liberar ao tráfego é de 24 horas, considerando uma temperatura ambiente de 25 °C e com boa ventilação.
Consumo aproximado
-alta absorção - mínimo 1 L/m².
-média absorção - mínimo 0,600 L/m².
-baixa absorção - mínimo 0,400 L/m².
Rendimento
Lata de 900 mL - 12 m²/demão
Galão de 3,6 litros - 48 m²/demão
Lata de 18 litros - 240 m²/demão";img/produtos/acquella-stone.jpg
adeflex;ADEFLEX;marca + aplicacao + categoria?;;;;selantes;primers;SIM;Pintura asfáltica composta de asfaltos modificados, plastificantes e solventes orgânicos.;"Lata com 18 litros
Tambor com 200 litros.";;;"Adeflex é aplicado a frio com pincel, rolo de pintura (lã de carneiro) ou broxa em uma demão, logo após a limpeza da superfície.
O tempo de secagem é de aproximadamente 6 horas com temperatura média de 25° C e umidade relativa do ar de 70%.";"Descrição:
Pintura asfáltica composta de asfaltos modificados, plastificantes e solventes orgânicos.
Aplicada a frio sobre superfícies de concreto, argamassa, alvenaria, metal, PVC, fibra de vidro, etc.
Utilização:
Adeflex é uma solução asfáltica que forma um filme de excelente aderência, ideal para ser utilizada como:
Primer para colagem de mantas asfálticas;
Primer para impermeabilizações com soluções asfálticas moldadas no local;
Primer para selantes asfálticos;
Proteção anticorrosiva em metais;
Pintura impermeável em baldrames, alicerces e muros de arrimo;
Pintura impermeável para fachadas, quando for aplicada sob película de vidro. Forma eficiente barreira contra a umidade, permitindo perfeito acabamento, enaltecendo a película.
Aplicada na pintura de madeiras utilizadas para confecção de mourões.
Vantagens:
Forma um filme flexível;
Proteção da estrutura contra agentes agressivos, como ambiente marítimo e chuvas ácidas;
Ótimo poder de adesividade sobre diversos materiais;
Excelente agente antioxidante e anticorrosivo para superfícies metálicas;
Excelente desempenho quando utilizado como pintura de fachada, antes da colocação de revestimentos como: granitos, pele de vidro, etc.
Características técnicas:
CaracterísticasUnid.Especificação
Viscosidade Copo Ford 4 a 25o C:segundos40-60
Não voláteis a 120ºC/3h:% massa60-78
Massa específica a 25/25ºC:-mínimo 0,94
Secagem ao toque:minutosmáximo 50
Normalização:
Ensaios e especificações segunda a NBR-9686
Preparação da Superfície:
O local a receber o primer Adeflex deve estar limpo, seco e regularizado com caimento mínimo de 1% em direção aos pontos de escoamento de água, preparada com argamassa de cimento e areia média, traço 1:3, utilizando água de amassamento composta de 1 volume de emulsão adesiva Viafix e 2 volumes de água para maior aderência ao substrato. Essa argamassa deverá ter acabamento desempenado, com espessura mínima de 2cm.
Consumo:
Concreto e Alvenaria: de 0,3 a 0,4 litros/m2 por demão.
Estruturas Metálicas e Tanques: de 0,2 a 0,3 litros/m2 por demão.
Validade e estocagem:
O produto tem validade de 12 meses, desde que armazenado em local seco, coberto e longe de fonte de calor.
Recomendações:
PERIGO: produto inflamável
Manter a embalagem fechada, CONSERVE FORA DO ALCANCE DAS CRIANÇAS E DOS ANIMAIS DOMÉSTICOS.
A Inalação freqüente em concentrações elevadas deste produto, acima dos níveis permitidos pela legislação, pode causar dependência e danos irreversíveis à saúde.
Manter o ambiente ventilado durante a aplicação e secagem.
Em ambientes fechados, utilizar obrigatóriamente ventilação forçada;
Não incinerar, perfurar ou reutilizar esta embalagem.
Usar máscara protetora, óculos de segurança e luvas durante a aplicação.
Em caso de contato com os olhos ou irritação da pele, lavar com água em abundância.
VENENO: perigosa inalação e proibida a ingestão.
Em caso de ingestão, não provocar vômito, procure auxílio médico, informando o tipo de produto.
Em caso de intoxicações, procure um Centro de Intoxicações ou Serviço de Saúde, levando a embalagem ou o rótulo do produto.
Misturar bem o produto antes de utilizar.
Para limpeza de ferramentas, utilizar aguarrás.
Toda a impermeabilização efetuada em reservatórios fechados, deve ter ventilação forçada e, se houver a necessidade de utilização de maçarico na aplicação do sistema impermeabilizante, para maior segurança o botijão de gáz deve permanecer fora do reservatório.
Nota: As informações contidas nesta ficha são baseadas em nosso conhecimento para a sua ajuda e orientação. Salientamos que o desempenho dos nossos produtos depende das condições de preparo de superfície, aplicação e estocagem, que não estão sob nossos cuidados. O rendimento prático depende da técnica de aplicação, das condições do equipamento e da superfície a ser revestida. Não assumimos assim, qualquer responsabilidade relativa ao rendimento e ao desempenho de qualquer natureza em decorrência do uso indevido do produto. Para maiores esclarecimentos consultar nosso departamento técnico. A Viapol reserva-se o direito de mudar as especificações ou informações contidas neste follheto sem prévio aviso.";img/produtos/adeflex.jpg
agua-raz;AGUA RAZ.;marca + aplicacao;;;;complementares;complementares;;Essência da terebintina solvente;Lata 900ml;;;"Mistura de hidrocarbonetos alifáticos, com faixa de destilação compreendida entre 151 e 240°C.É utilizada principalmente como solvente e também na fabricação de ceras, graxas e tintas.
Utilizada na formulação de tintas e como diluente de resinas ou vernizes, como desengordurante de couros, na limpeza industrial de máquinas, ferramentas.";"É uma mistura de hidrocarbonetos alifáticos voláteis, que apresenta ponto de fulgor médio de aproximadamente 45°C. Quando a sua temperatura se eleva além do ponto de fulgor, o líquido libera vapores que podem formar com o ar uma mistura inflamável. Seu manuseio, utilização e guarda requerem todos os cuidados que se aplicam aos solventes de origem petroquímica, devendo ser mantido longe de fontes de ignição, chamas e faíscas.
É classificado como um produto irritante à pele e às vias respiratórias, portanto, a inalação de seus vapores podem causar narcose, efeitos narcóticos, e um contato prolongado com a pele, sugerindo-se para sua manipulação a utilização de máscara contra vapores voláteis e luvas.";img/produtos/agua-raz.jpg
aplicador-de-sache-600ml;APLICADOR DE SACHÊ 600ML;marca + detalhes + aplicacao;;;;complementares;complementares;;Aplicador de de Sache de 600ml de selantes.;Un;;;Aplicação de selantes ou mastiques embalados em saches de 600ml.;;img/produtos/aplicador-de-sache-600ml.jpg
aplicador-de-silicone;APLICADOR DE SILICONE;marca + detalhes + aplicacao;;;;complementares;complementares;;Pistola para aplicação de selantes;Un;;;Ferramenta para aplicação de selantes ou mastiques, embalados em saches ou embalages de cartucho.;;img/produtos/aplicador-de-silicone.jpg
betol-ecologico;BETOL ECOLÓGICO;marca + aplicacao + categoria?;;;;desmoldantes;impermeabilizantes;SIM;Betol é um asfalto diluído que proteje e impermebiliza com excelente resistência;"900 ml
Gl 3,6 litros
Bd 18 litros
200 litros.";;;"• Caixas d'água;
• Concreto e alvenaria sujeitos a umidade ou a meios agressivos;
• Tanques;
• Madeira;
• Primer para colocação de mantas asfálticas e impermeabilizações à quente.";"Betol é um asfalto diluído que proteje e impermebiliza com excelente resistência química. Betol é recomendado para concreto, alvenarias, metais e ambientes com umidade agressiva. A película seca de Betol não transmite odor à água. VANTAGENS • Fácil aplicação; • Já vem pronta para uso; • Alta eficiência. ONDE APLICAR • Caixas d'água; • Concreto e alvenaria sujeitos a umidade ou a meios agressivos; • Tanques; • Madeira; • Primer para colocação de mantas asfálticas e impermeabilizações à quente. COMO APLICAR 1. Betol já vem pronto para usar. 2. A superfície deve estar firme, limpa e seca. 3. Os metais e ferros deverão receber uma escovação prévia. 4. Utilize pincel, rolo de pintura (lã), brocha, vassourão ou pulverizador. 5. Em proteções: aplique 2 ou 3 demãos. 6. Como primer: aplique 1 demão. CARACTERÍSTICAS Composição básica: Asfalto e solventes. Consumo: Concreto e alvenaria: 0,5 litro / m². Ferro: 0,15 litro / m² / demão. Primer: 0,3 litro / m². Embalagens: 0,9 / 3,6 / 18 e 200 litros.";img/produtos/betol-ecologico.jpg
bianco;BIANCO;aplicacao + categoria?;vedacit;;vedacit;impermeabilizantes;adesivos_argamassas;SIM;Adesivo de alto desempenho para argamassas e chapiscos;"Balde de 18 kg
Gal&atilde
o de 3,6 kg
Pote de 1 kg
Tambor de 200 kg";;;"Chapisco nos mais diversos substratos, inclusive EPS (Isopor(r)).
Reparo de pouca espessura em concreto e alvenaria.
Execução de piso, rejuntamento.
Fixador de caiação.
Assentamento de azulejo, cerâmica.
Plastificante para gesso.
Fixador para o CIMENTOL e outras tintas minerais.";"BIANCO é uma resina sintética de alto desempenho que proporciona excelente aderência das argamassas aos mais diversos substratos.
BIANCO confere maior elasticidade e, assim, maior resistência ao desgaste e aos choques.
BIANCO aumenta a impermeabilidade e evita a retração das argamassas. Pode ser usado em áreas externas e internas ou sujeitas à umidade.
A melhor aderência do chapisco é obtida com o emprego de aditivos promotores de aderência. Segundo a NBR 11905 ABNT, homopolímeros e polímeros sucetíveis à reemulsificação e saponificação, não podem ser utilizados em sistemas de impermeabilização compostos de cimento, portanto também é arriscado utilizá-los em chapisco localizado em caixas d&acute;água, piscinas e paredes externas ou sujeitas às infiltrações. A reemulsificação e a saponificação são processos que ocorrem em alguns tipos de polímeros onde após sua polimerização se desagregam quando colocados em presença constante de água. Os copolímeros vinílicos, apresentam excelentes propriedades sem qualquer risco de desagregação.
Características
Densidade: 1,02 g/cm3
Aparência: Líquido branco, isento de cloretos
Composição básica: copolímero compatível com o cimento - atende a norma NBR 11905
Validade: 12 meses
MODO DE USAR
Preparo do substrato
As superfícies (limpas, porosas, isentas de pó ou oleosidade) devem ser umedecidas antes da aplicação.
Preparo do produto
Misturar antes de usar.
Adicionar BIANCO à água de amassamento na proporção BIANCO:água (1:2).
Aplicação
Todos os revestimentos de maior espessura são precedidos da aplicação do composto adesivo.
As regularizações, os reparos e as colagens de azulejos com espessuras inferiores a 0,5 cm não necessitam desse preparo.
Composto adesivo para chapisco
TRAÇO: 1 parte cimento Portland / 3 partes areia média.
Amolentar com a solução BIANCO:água (1:2). Aplicar o composto adesivo nos pisos, com vassourão, ou em forma de chapisco nas paredes.
O chapisco pode ser feito também na forma de pintura (BIANCO ROLADO), utilizando-se rolo para textura intensa e, preferencialmente, areia grossa.
Revestimentos
TRAÇO: 1 parte cimento Portland / 3 partes areia média seca peneirada.
Amolentar com solução BIANCO:água (1:2).
Pisos
Aplicar previamente o composto adesivo e, simultaneamente a argamassa:
TRAÇO: 1 parte cimento Portland / 1 parte areia média (0 - 3 mm) / 2 partes pedrisco.
Amolentar com solução BIANCO:água (1:2).
A argamassa não poderá ser muito fluida, devendo ser bem adensada. Evitar a secagem rápida, utilizando cura úmida, CURING ou TRI-CURING.
Rejuntamento
Adicionar alvaiade ao cimento branco e amolentar com a solução BIANCO: água 1:2, ou seja, 1 litro de BIANCO para 2 litros de água.
BIANCO pode ser utilizado em rejuntes fornecidos prontos para uso.
Reparos
Reparos são feitos com espessura máxima de 0,5 cm, sem aplicação do composto adesivo. Pode-se misturar cimento comum ou cimento branco para obter várias tonalidades.
A aplicação é feita com broxa e a igualação com desempenadeira de feltro.
TRAÇO: 1 parte cimento Portland / 3 partes areia média seca e peneirada.
Amolentar com solução BIANCO: água (1:2).
Pinturas
A pintura com BIANCO é mais impermeável e durável, além de ter aplicação facilitada. BIANCO é ideal para caiações, pinturas com cimento branco ou cimento comum e com CIMENTOL.
TRAÇO: - para cal ou cimento misturar 1 kg de BIANCO e 4 litros de água.
Consumo aproximado
- Composto adesivo para chapisco = 300 g/m²
- Composto adesivo para chapisco rolado = 200 g/m²
- Reparos, revestimentos e pisos = 400 g/m²/cm
PRECAUÇÕES
Armazenamento
Estocar o produto em local coberto, fresco, seco e ventilado, fora do alcance de crianças e animais e longe de fontes de calor.
Atenção
- Superfícies muito lisas, inclusive devido à utilização de fôrmas plastificadas, resinadas ou com excesso de desmoldante, devem ser lavadas, escovadas ou até mesmo apicoadas, para obter a perfeita aderência do chapisco.
- Nunca utilizar o produto puro, como tinta.
- Em argamassas para chapisco, não utilizar cimento de pega lenta.
EPI (Equipamento de proteção individual)
Avental de PVC
Luvas de borracha
Óculos de Segurança
Primeiros socorros
Contato com os olhos: lavar com bastante água, durante pelo menos 15 minutos. Procurar um médico.
Contato com a pele: lavar com bastante água, durante pelo menos 15 minutos. Aplicar creme hidratante.
Inalação: remover para ambiente fresco e ventilado.
Ingestão: não provocar vômito. Procurar um médico.";img/produtos/bianco.jpg
broxa-retangular;BROXA RETANGULAR;marca + detalhes + aplicacao;;;;complementares;complementares;;Broxa para pinturas.;Un;;;"Broxas Retangulares estão presentes nos maiores e distribuidores e atacadistas do Brasil.
A Maciez de suas cerdas e o encaixe para as latas são suas principais características.
Aplicação de pinturas asfálticas, acrílicas, e cimentícias.";;img/produtos/broxa-retangular.jpg
cabo-para-rolo;CABO PARA ROLO;marca + detalhes + aplicacao;;;;complementares;complementares;;Cabo para rolos de pintura.;Un;;;Acessório para pintura com os mais diveross tipo de rolos existentes no mercado.;;img/produtos/cabo-para-rolo.jpg
camada-separadora-viapol;CAMADA SEPARADORA VIAPOL;aplicacao + categoria?;viapol;;;asfaltos;complementares;SIM;A camada separadora, num sistema de impermeabilização;Rolos com 300m&sup2;;;"A camada separadora, num sistema de impermeabilização, tem como função evitar que as tensões atuantes nas camadas de proteção mecânica, originadas por variações térmicas ou carregamentos, transmitam-se para a impermeabilização.
Outra função importante da camada separadora é permitir que se façam reparos na impermeabilização, quando necessários, sem que a camada impermeabilizante seja danificada pela remoção da proteção, o que ocorreria caso a mesma não tivesse sido colocada.
Com estas considerações feitas e sempre no sentido de indicar aos seus aplicadores a forma mais correta e eficiente para a execução dos serviços de impermeabilização, a VIAPOL recomenda que em toda a superfície horizontal, após a colocação das mantas, seja colocada uma camada separadora antes da proteção mecânica.";"Descrição:
Filme de (polietileno) com 1,3 m com epessura de 24 micras
Vantagem:
Evita que os esforços de dilatação e contração da argamassa de proteção mecânica atuem diretamente sobre a impermeabilização.
Observação:
Salientamos que o filme de polietileno que serve de acabamento das mantas fabricadas pela VIAPOL não se constitui numa camada separadora, pois nas emendas de manta com manta haverá aderência da proteção mecânica no asfalto que forma o cordão de biselamento.
Validade e estocagem:
O produto tem validade de 5 anos, a partir da data de fabricação, desde que armazenado na posição vertical, nas embalagens originais e intactas, em local seco, ventilado e longe de fontes de calor.
Recomendações:
Toda impermeabilização efetuada em ambientes fechados deve ter ventilação forçada, se houver a necessidade de utilização de maçarico na aplicação do sistema impermeabilizante, para maior segurança o botijão de gás deve permanecer fora do ambiente.
Nota: As informações contidas nesta ficha são baseadas em nosso conhecimento para a sua ajuda e orientação. Salientamos que o desempenho dos nossos produtos depende das condições de preparo de superfície, aplicação e estocagem, que não estão sob nossos cuidados. O rendimento prático depende da técnica de aplicação, das condições do equipamento e da superfície a ser revestida. Não assumimos assim, qualquer responsabilidade relativa ao rendimento e ao desempenho de qualquer natureza em decorrência do uso indevido do produto. Para maiores esclarecimentos consultar nosso departamento técnico.A Viapol reserva-se o direito de mudar as especificações ou informações contidas neste follheto sem prévio aviso.";img/produtos/camada-separadora-viapol.jpg
